schema_version,sample_id,source_relpath,camera_angle,captured_at_local,capture_date,session_id,sequence_no,split,label,defect_type,width,height,channels,source_sha256,quality_flags,notes
1.0,G04-260201-115803-681,G04-260201-115803-681.bmp,G04,2026-02-01T11:58:03,2026-02-01,G04_2026-02-01,681,train,normal,,1025,1281,1,62b2486a967b003148f931776b2b61a25fe8df1c325e370f74807fb035cc1379,,
1.0,G04-260201-115814-682,G04-260201-115814-682.bmp,G04,2026-02-01T11:58:14,2026-02-01,G04_2026-02-01,682,train,normal,,1025,1281,1,221371fdb40ba17f23b074a7992926192d84c3bba1ffd2a549cc1e2e7e8baf72,,
1.0,G04-260201-115821-683,G04-260201-115821-683.bmp,G04,2026-02-01T11:58:21,2026-02-01,G04_2026-02-01,683,train,normal,,1025,1281,1,f889ea4530598a3f76a2c2211cbd0db5be8aa585c8be1d7cbcc4276d47ece7e2,,
1.0,G04-260201-115827-684,G04-260201-115827-684.bmp,G04,2026-02-01T11:58:27,2026-02-01,G04_2026-02-01,684,train,normal,,1025,1281,1,16011403a9ff07a078df49092879adb00fdd5e24b733ad7cdaabfcd7d0775c26,,
1.0,G04-260201-115848-685,G04-260201-115848-685.bmp,G04,2026-02-01T11:58:48,2026-02-01,G04_2026-02-01,685,train,normal,,1025,1281,1,471866400767142ae0f37b9d1b1b03b50a99305dd3a27f4a61b87a89a5f07dca,,
1.0,G04-260201-115919-686,G04-260201-115919-686.bmp,G04,2026-02-01T11:59:19,2026-02-01,G04_2026-02-01,686,train,normal,,1025,1281,1,a633a1cf62438eb8d0bedf761e4c028644799547342c28a3288fd5f431bf453d,,
1.0,G04-260201-115925-687,G04-260201-115925-687.bmp,G04,2026-02-01T11:59:25,2026-02-01,G04_2026-02-01,687,train,normal,,1025,1281,1,07cb3f7329f5f5dfc5d90739a8f3adc6269f338731dcec6a2137e7400edadcb0,,
1.0,G04-260201-115949-688,G04-260201-115949-688.bmp,G04,2026-02-01T11:59:49,2026-02-01,G04_2026-02-01,688,train,normal,,1025,1281,1,aa924f4b3331d348d1eef71d1fd36f6c5169a165944998f4345d134f5e4cf616,,
1.0,G04-260201-115955-689,G04-260201-115955-689.bmp,G04,2026-02-01T11:59:55,2026-02-01,G04_2026-02-01,689,train,normal,,1025,1281,1,128260ec200cbb9502f4f4969b8c2ac03292c6596a0ff7a6fe510e886d5351d6,,
1.0,G04-260201-120020-690,G04-260201-120020-690.bmp,G04,2026-02-01T12:00:20,2026-02-01,G04_2026-02-01,690,train,normal,,1025,1281,1,8e4e5b7ee733a526388c48a217d48f68dc17bd69ca5b015380505ab40537b5f7,,
1.0,G04-260201-120027-691,G04-260201-120027-691.bmp,G04,2026-02-01T12:00:27,2026-02-01,G04_2026-02-01,691,train,normal,,1025,1281,1,9cebab48bf1582d65e3c2c905902b6c2259d51bec8705388eec606ca814c2e40,,
1.0,G04-260201-120053-692,G04-260201-120053-692.bmp,G04,2026-02-01T12:00:53,2026-02-01,G04_2026-02-01,692,train,normal,,1025,1281,1,2135c62984f796a0726186eb536dfad1dbaf363976690bf0277bb64e548b48aa,,
1.0,G04-260201-120059-693,G04-260201-120059-693.bmp,G04,2026-02-01T12:00:59,2026-02-01,G04_2026-02-01,693,train,normal,,1025,1281,1,66bed5a81ad9b0eb774f0108b4c5a15dc3788f9378ae6711a2ab70c038136081,,
1.0,G04-260201-120121-694,G04-260201-120121-694.bmp,G04,2026-02-01T12:01:21,2026-02-01,G04_2026-02-01,694,train,normal,,1025,1281,1,1c09634fbd7c80e8d0348d00265282c4ad9648f8191c9b25d3a3fba5d96edf6a,,
1.0,G04-260201-120127-695,G04-260201-120127-695.bmp,G04,2026-02-01T12:01:27,2026-02-01,G04_2026-02-01,695,train,normal,,1025,1281,1,62ca400db9a5b8f58745196c88f57ba23af7e579355e737f559f6583beb7b342,,
1.0,G04-260201-120152-696,G04-260201-120152-696.bmp,G04,2026-02-01T12:01:52,2026-02-01,G04_2026-02-01,696,train,normal,,1025,1281,1,7c4e70eb0181899be4d12b07b0b7018834bbd950e7936c932d8bb5c21c50de03,,
1.0,G04-260201-120158-697,G04-260201-120158-697.bmp,G04,2026-02-01T12:01:58,2026-02-01,G04_2026-02-01,697,train,normal,,1025,1281,1,7c05c6de96f56f88369d347a5176bc546a2f5c67f099a052a5dc0b416fe79684,,
1.0,G04-260201-120220-698,G04-260201-120220-698.bmp,G04,2026-02-01T12:02:20,2026-02-01,G04_2026-02-01,698,train,normal,,1025,1281,1,40b86c8fdd1df4e8289ce7772b5375371dd8b6bc85594a6874220c372b430c8e,,
1.0,G04-260201-120226-699,G04-260201-120226-699.bmp,G04,2026-02-01T12:02:26,2026-02-01,G04_2026-02-01,699,train,normal,,1025,1281,1,53f2b892b0c92f1dd2856a3b836921b1920fd19d9e6c37ae165735ebe09ad2ca,,
1.0,G04-260201-120252-700,G04-260201-120252-700.bmp,G04,2026-02-01T12:02:52,2026-02-01,G04_2026-02-01,700,train,normal,,1025,1281,1,8b483c5594badd7f7a7f0c863b1d887849da91c0f5934148a5be5e40b25e506e,,
1.0,G04-260201-120258-701,G04-260201-120258-701.bmp,G04,2026-02-01T12:02:58,2026-02-01,G04_2026-02-01,701,train,normal,,1025,1281,1,1286609808555a80891e3a33da328d6332724825f0ee51738f414af9a89e8e2f,,
1.0,G04-260201-120321-702,G04-260201-120321-702.bmp,G04,2026-02-01T12:03:21,2026-02-01,G04_2026-02-01,702,train,normal,,1025,1281,1,9375a0426ea03486526d42d7f33b23642d6c9eee5b50b4629cf666a57374f087,,
1.0,G04-260201-120327-703,G04-260201-120327-703.bmp,G04,2026-02-01T12:03:27,2026-02-01,G04_2026-02-01,703,train,normal,,1025,1281,1,a76987bf580dbce73fc06d6ccaa19738c7eb92ea913269b80ed18c0c77cccc48,,
1.0,G04-260201-120351-704,G04-260201-120351-704.bmp,G04,2026-02-01T12:03:51,2026-02-01,G04_2026-02-01,704,train,normal,,1025,1281,1,f1f3b41d1a55c014210de341972e8379c67e7294f56f04e4a99c909d9ae8ad46,,
1.0,G04-260201-120357-705,G04-260201-120357-705.bmp,G04,2026-02-01T12:03:57,2026-02-01,G04_2026-02-01,705,train,normal,,1025,1281,1,2bca80d72f0bc79e8b734dffb7be1f703906986f5de9a656df3e42906b33d945,,
1.0,G04-260201-120422-706,G04-260201-120422-706.bmp,G04,2026-02-01T12:04:22,2026-02-01,G04_2026-02-01,706,train,normal,,1025,1281,1,f5d6719679b70f220425f4d0e8ce69a737251a6202ba40cbb5dfb9dd868d5a4f,,
1.0,G04-260201-120428-707,G04-260201-120428-707.bmp,G04,2026-02-01T12:04:28,2026-02-01,G04_2026-02-01,707,train,normal,,1025,1281,1,009ea718eeffa20482f4cb9a14552a919ed355cbb6fc9ac901d231ebbab39239,,
1.0,G04-260201-120452-708,G04-260201-120452-708.bmp,G04,2026-02-01T12:04:52,2026-02-01,G04_2026-02-01,708,train,normal,,1025,1281,1,6768a89fe51882532e8235f323ce0869823046ea0b249354e4d528c443072874,,
1.0,G04-260201-120458-709,G04-260201-120458-709.bmp,G04,2026-02-01T12:04:58,2026-02-01,G04_2026-02-01,709,train,normal,,1025,1281,1,63cf25541c8aa2f3e4c43f3261ff3c8b840ffc8b3ec298ccb9028220f2777f61,,
1.0,G04-260201-120522-710,G04-260201-120522-710.bmp,G04,2026-02-01T12:05:22,2026-02-01,G04_2026-02-01,710,train,normal,,1025,1281,1,0159b74d485b2b04abc2b0225dd13b197845e088c176ead0374e78bf4a88b2a8,,
1.0,G04-260201-120528-711,G04-260201-120528-711.bmp,G04,2026-02-01T12:05:28,2026-02-01,G04_2026-02-01,711,train,normal,,1025,1281,1,32edeb649664dfbe009574c1bef516ddbec490fa232e7a4de5a57652363a4dc0,,
1.0,G04-260201-120551-712,G04-260201-120551-712.bmp,G04,2026-02-01T12:05:51,2026-02-01,G04_2026-02-01,712,train,normal,,1025,1281,1,fc0864579d10c2632cc5008f68ea1d61b95b7fb9bf920676e6429d8428de17a2,,
1.0,G04-260201-120558-713,G04-260201-120558-713.bmp,G04,2026-02-01T12:05:58,2026-02-01,G04_2026-02-01,713,train,normal,,1025,1281,1,6368061ca41ef8db7762938424da6b7c522a17b4d0f537d5cc659413643f7a7b,,
1.0,G04-260201-120623-714,G04-260201-120623-714.bmp,G04,2026-02-01T12:06:23,2026-02-01,G04_2026-02-01,714,train,normal,,1025,1281,1,d6f8bdd97a793077e7113e5281ea58e7fab1a991bbd4a65a587d7ac218df94aa,,
1.0,G04-260201-120629-715,G04-260201-120629-715.bmp,G04,2026-02-01T12:06:29,2026-02-01,G04_2026-02-01,715,train,normal,,1025,1281,1,418cf5e2fef9c06c49c08e82c5538b514270435a4f61f7020539ada1571d1325,,
1.0,G04-260201-120652-716,G04-260201-120652-716.bmp,G04,2026-02-01T12:06:52,2026-02-01,G04_2026-02-01,716,train,normal,,1025,1281,1,0842986c26507206de56c30573648316cb480451a4ed8e6596d9dc3d8341f15f,,
1.0,G04-260201-120659-717,G04-260201-120659-717.bmp,G04,2026-02-01T12:06:59,2026-02-01,G04_2026-02-01,717,train,normal,,1025,1281,1,7f3cd4334c5f6325277415151ef4b7de7d240dcfedb8593eabe449fb3d7ac0d9,,
1.0,G04-260201-120723-718,G04-260201-120723-718.bmp,G04,2026-02-01T12:07:23,2026-02-01,G04_2026-02-01,718,train,normal,,1025,1281,1,8273309badd6814f7c98a6fb60c723ead7816ab370d01dc3d19707a4e3990a19,,
1.0,G04-260201-120729-719,G04-260201-120729-719.bmp,G04,2026-02-01T12:07:29,2026-02-01,G04_2026-02-01,719,train,normal,,1025,1281,1,05041809286fff213c076b31378fc5a5ba3a4cd603cc3884be5526d903baa481,,
1.0,G04-260201-120752-720,G04-260201-120752-720.bmp,G04,2026-02-01T12:07:52,2026-02-01,G04_2026-02-01,720,train,normal,,1025,1281,1,f5205696aaba70c54ce401de97c1be314ecaa9bd5db1a1e403f6b5cd9d31aef2,,
1.0,G04-260201-120759-721,G04-260201-120759-721.bmp,G04,2026-02-01T12:07:59,2026-02-01,G04_2026-02-01,721,train,normal,,1025,1281,1,15395da9564f63bc0bd76325238f440a94833d6bea49b71199c17286aa33b9ff,,
1.0,G04-260201-120823-722,G04-260201-120823-722.bmp,G04,2026-02-01T12:08:23,2026-02-01,G04_2026-02-01,722,train,normal,,1025,1281,1,2b158e09419730ce4de902ae85b0588eadbd76a039d6808359540bfdc67d05fa,,
1.0,G04-260201-120829-723,G04-260201-120829-723.bmp,G04,2026-02-01T12:08:29,2026-02-01,G04_2026-02-01,723,train,normal,,1025,1281,1,24c16435fc7e15ed6f5d616611504f2153726688a29092e112ca3b8f73d533ad,,
1.0,G04-260201-120852-724,G04-260201-120852-724.bmp,G04,2026-02-01T12:08:52,2026-02-01,G04_2026-02-01,724,train,normal,,1025,1281,1,6fcd11832796a9cd4c6564504fcf6cac87ada4731cf305460f12820b6cdae6db,,
1.0,G04-260201-120859-725,G04-260201-120859-725.bmp,G04,2026-02-01T12:08:59,2026-02-01,G04_2026-02-01,725,train,normal,,1025,1281,1,29fd7079b260be3cf935ffe8c50e8e089cfc2696bef698bcde8b1f7cb48aaef5,,
1.0,G04-260201-120922-726,G04-260201-120922-726.bmp,G04,2026-02-01T12:09:22,2026-02-01,G04_2026-02-01,726,train,normal,,1025,1281,1,3bb426375b613c97ae9dc36ec39d6d664f693e16e5f275023cdf102664ef5c04,,
1.0,G04-260201-120930-727,G04-260201-120930-727.bmp,G04,2026-02-01T12:09:30,2026-02-01,G04_2026-02-01,727,train,normal,,1025,1281,1,07e2ea7f6e3bfc284905175701d6eed9cb6ddf5d2bbc7edf33b8c84b2afcc357,,
1.0,G04-260201-120954-728,G04-260201-120954-728.bmp,G04,2026-02-01T12:09:54,2026-02-01,G04_2026-02-01,728,train,normal,,1025,1281,1,28f6ea65bf51775d7bdbb2783bdbb29a4c51fde96faf8e6438dc61563a3f6794,,
